epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,183.752,0.32971,0.21784,0.37298,0.80016,0.99876,1,0.995,0.97846,0.99876,1,0.995,0.995,0.24382,0.21791,0.2219,0.77485,0.0009902,0.0009902,0.0009902
53,187.052,0.30777,0.23794,0.36823,0.79714,0.99874,1,0.995,0.97731,0.99874,1,0.995,0.995,0.26807,0.20373,0.23217,0.77593,0.0009704,0.0009704,0.0009704
54,190.325,0.32196,0.23268,0.36307,0.79784,0.99868,1,0.995,0.97784,0.99868,1,0.995,0.98018,0.24277,0.21774,0.20629,0.77481,0.0009506,0.0009506,0.0009506
55,193.6,0.28839,0.23031,0.35636,0.80504,0.99858,1,0.995,0.98263,0.99858,1,0.995,0.98772,0.23306,0.22348,0.20526,0.77421,0.0009308,0.0009308,0.0009308
56,197.101,0.2775,0.23799,0.34726,0.80991,0.99857,1,0.995,0.97845,0.99857,1,0.995,0.995,0.24549,0.20542,0.23137,0.7751,0.000911,0.000911,0.000911
57,200.425,0.27273,0.2302,0.32838,0.80045,0.99874,1,0.995,0.98783,0.99874,1,0.995,0.98862,0.21502,0.2238,0.2183,0.77301,0.0008912,0.0008912,0.0008912
58,203.779,0.27122,0.23277,0.31971,0.80745,0.99875,1,0.995,0.98446,0.99875,1,0.995,0.995,0.21017,0.2033,0.20422,0.77189,0.0008714,0.0008714,0.0008714
59,207.079,0.27145,0.2131,0.31238,0.78726,0.99878,1,0.995,0.9886,0.99878,1,0.995,0.991,0.22045,0.20587,0.21689,0.77183,0.0008516,0.0008516,0.0008516
60,210.359,0.25914,0.22564,0.30564,0.80222,0.99874,1,0.995,0.99302,0.99874,1,0.995,0.99137,0.21188,0.20987,0.20309,0.77165,0.0008318,0.0008318,0.0008318
61,213.624,0.26662,0.23043,0.3094,0.79999,0.99873,1,0.995,0.98563,0.99873,1,0.995,0.9925,0.20382,0.19991,0.19696,0.77133,0.000812,0.000812,0.000812
62,216.889,0.24791,0.22441,0.29903,0.79458,0.99874,1,0.995,0.99294,0.99874,1,0.995,0.995,0.20239,0.20017,0.19037,0.77044,0.0007922,0.0007922,0.0007922
63,220.244,0.25372,0.22143,0.31061,0.78529,0.99879,1,0.995,0.995,0.99879,1,0.995,0.995,0.18352,0.20732,0.19024,0.77026,0.0007724,0.0007724,0.0007724
64,223.51,0.25944,0.20866,0.31256,0.7963,0.99876,1,0.995,0.99158,0.99876,1,0.995,0.99377,0.19319,0.20458,0.18591,0.76995,0.0007526,0.0007526,0.0007526
65,226.773,0.26743,0.22753,0.30858,0.79546,0.99874,1,0.995,0.99285,0.99874,1,0.995,0.995,0.17869,0.20055,0.17194,0.77012,0.0007328,0.0007328,0.0007328
66,230.139,0.25735,0.21062,0.2981,0.8023,0.99876,1,0.995,0.99291,0.99876,1,0.995,0.995,0.19072,0.20638,0.18232,0.77138,0.000713,0.000713,0.000713
67,233.477,0.23581,0.22298,0.28447,0.78555,0.99879,1,0.995,0.98911,0.99879,1,0.995,0.99341,0.19578,0.20513,0.18425,0.77188,0.0006932,0.0006932,0.0006932
68,236.811,0.23557,0.21784,0.28572,0.80148,0.9988,1,0.995,0.99226,0.9988,1,0.995,0.99339,0.17573,0.21126,0.18146,0.76881,0.0006734,0.0006734,0.0006734
69,240.147,0.24445,0.22184,0.28843,0.79456,0.9988,1,0.995,0.99301,0.9988,1,0.995,0.99011,0.18129,0.20334,0.18703,0.76848,0.0006536,0.0006536,0.0006536
70,243.423,0.22575,0.21477,0.27454,0.80419,0.99881,1,0.995,0.9909,0.99881,1,0.995,0.99342,0.17353,0.21131,0.17863,0.7682,0.0006338,0.0006338,0.0006338
71,246.7,0.24419,0.21859,0.27794,0.78629,0.99879,1,0.995,0.99336,0.99879,1,0.995,0.98993,0.18304,0.20882,0.1769,0.7687,0.000614,0.000614,0.000614
72,249.963,0.24848,0.22352,0.27596,0.79416,0.99878,1,0.995,0.99193,0.99878,1,0.995,0.99182,0.17579,0.20914,0.17964,0.76867,0.0005942,0.0005942,0.0005942
73,253.214,0.23196,0.21932,0.26892,0.78185,0.99878,1,0.995,0.995,0.99878,1,0.995,0.99167,0.17605,0.21137,0.17234,0.76814,0.0005744,0.0005744,0.0005744
74,256.487,0.23675,0.22407,0.26631,0.79312,0.99813,1,0.995,0.995,0.99813,1,0.995,0.99164,0.18559,0.19934,0.16188,0.76926,0.0005546,0.0005546,0.0005546
75,259.743,0.21938,0.25794,0.25628,0.78334,0.9988,1,0.995,0.99243,0.9988,1,0.995,0.99198,0.16769,0.21163,0.15552,0.76821,0.0005348,0.0005348,0.0005348
76,263.021,0.23028,0.21739,0.27023,0.79594,0.9988,1,0.995,0.99359,0.9988,1,0.995,0.99225,0.1794,0.22286,0.15814,0.76903,0.000515,0.000515,0.000515
77,266.321,0.22007,0.22223,0.25979,0.79808,0.99881,1,0.995,0.99336,0.99881,1,0.995,0.99321,0.17948,0.22611,0.15623,0.76935,0.0004952,0.0004952,0.0004952
78,269.587,0.22673,0.21053,0.26038,0.78194,0.99881,1,0.995,0.995,0.99881,1,0.995,0.99015,0.18144,0.19344,0.17101,0.76879,0.0004754,0.0004754,0.0004754
79,272.854,0.21824,0.21223,0.25905,0.79566,0.99879,1,0.995,0.99256,0.99879,1,0.995,0.98934,0.17266,0.19367,0.17238,0.76827,0.0004556,0.0004556,0.0004556
80,276.079,0.21776,0.20419,0.25582,0.80097,0.99881,1,0.995,0.995,0.99881,1,0.995,0.98941,0.16685,0.19004,0.15683,0.76793,0.0004358,0.0004358,0.0004358
81,279.279,0.20766,0.21137,0.25006,0.7815,0.99878,1,0.995,0.995,0.99878,1,0.995,0.98606,0.17781,0.20339,0.17062,0.76841,0.000416,0.000416,0.000416
82,282.52,0.20672,0.2097,0.2461,0.78647,0.99879,1,0.995,0.995,0.99879,1,0.995,0.98897,0.16964,0.19971,0.1628,0.76847,0.0003962,0.0003962,0.0003962
83,285.749,0.22006,0.21982,0.25215,0.79269,0.99882,1,0.995,0.995,0.99882,1,0.995,0.98912,0.16033,0.19598,0.15383,0.76739,0.0003764,0.0003764,0.0003764
84,289.08,0.20496,0.20352,0.2442,0.79158,0.99882,1,0.995,0.99343,0.99882,1,0.995,0.99306,0.1641,0.20047,0.15211,0.76747,0.0003566,0.0003566,0.0003566
85,292.299,0.19991,0.20883,0.24557,0.79103,0.99883,1,0.995,0.995,0.99883,1,0.995,0.99313,0.17034,0.19547,0.15392,0.76827,0.0003368,0.0003368,0.0003368
86,295.524,0.21754,0.19882,0.24282,0.7999,0.99882,1,0.995,0.995,0.99882,1,0.995,0.99234,0.16732,0.19237,0.14259,0.7683,0.000317,0.000317,0.000317
87,298.879,0.21483,0.21314,0.24775,0.79421,0.99881,1,0.995,0.995,0.99881,1,0.995,0.99212,0.16997,0.19442,0.14979,0.76806,0.0002972,0.0002972,0.0002972
88,302.196,0.20487,0.20156,0.23918,0.7874,0.99882,1,0.995,0.995,0.99882,1,0.995,0.99212,0.15958,0.19735,0.14195,0.76787,0.0002774,0.0002774,0.0002774
89,305.457,0.2099,0.23363,0.24165,0.79584,0.99882,1,0.995,0.995,0.99882,1,0.995,0.98992,0.15717,0.19885,0.14343,0.76782,0.0002576,0.0002576,0.0002576
90,308.761,0.19173,0.21653,0.23238,0.79045,0.99881,1,0.995,0.995,0.99881,1,0.995,0.98999,0.15888,0.1977,0.14326,0.76761,0.0002378,0.0002378,0.0002378
91,313.617,0.16307,0.19448,0.26346,0.7567,0.99881,1,0.995,0.995,0.99881,1,0.995,0.98614,0.17564,0.20244,0.15139,0.76794,0.000218,0.000218,0.000218
92,316.903,0.16691,0.18701,0.25015,0.7552,0.99882,1,0.995,0.995,0.99882,1,0.995,0.98923,0.16196,0.20182,0.1535,0.76796,0.0001982,0.0001982,0.0001982
93,320.118,0.16854,0.18821,0.2465,0.7719,0.99881,1,0.995,0.995,0.99881,1,0.995,0.9891,0.15343,0.20314,0.14876,0.76712,0.0001784,0.0001784,0.0001784
94,323.414,0.16294,0.18922,0.24099,0.76111,0.99879,1,0.995,0.995,0.99879,1,0.995,0.99311,0.17094,0.20101,0.15703,0.76742,0.0001586,0.0001586,0.0001586
95,326.618,0.15013,0.18728,0.23366,0.77171,0.99877,1,0.995,0.995,0.99877,1,0.995,0.98985,0.16595,0.1972,0.15884,0.7673,0.0001388,0.0001388,0.0001388
96,329.906,0.16159,0.18177,0.23835,0.78565,0.9988,1,0.995,0.99345,0.9988,1,0.995,0.98972,0.15461,0.19384,0.15324,0.76712,0.000119,0.000119,0.000119
97,333.164,0.1615,0.18479,0.2352,0.7694,0.9988,1,0.995,0.995,0.9988,1,0.995,0.9914,0.14695,0.19476,0.1514,0.76661,9.92e-05,9.92e-05,9.92e-05
98,336.361,0.15662,0.18144,0.22664,0.75806,0.99881,1,0.995,0.995,0.99881,1,0.995,0.99139,0.14563,0.19589,0.1483,0.76645,7.94e-05,7.94e-05,7.94e-05
99,339.576,0.15083,0.18012,0.22781,0.77041,0.99883,1,0.995,0.995,0.99883,1,0.995,0.98951,0.14573,0.19662,0.14198,0.76628,5.96e-05,5.96e-05,5.96e-05
100,342.864,0.14423,0.18207,0.21904,0.76943,0.99884,1,0.995,0.995,0.99884,1,0.995,0.98973,0.14484,0.19732,0.14046,0.7664,3.98e-05,3.98e-05,3.98e-05
